customer_id,age,gender,join_date,city,occupation,monthly_income_EGP,credit_score
100045,54,F,2019-01-07,Mansoura,Clerk,1500.0,691
100046,68,F,2020-11-21,Cairo,Engineer,6714.15,745
100047,24,M,2019-09-24,Luxor,Teacher,21223.1,678
100048,38,F,2025-12-07,Tanta,Teacher,14613.52,531
100049,26,M,2019-05-31,Luxor,Manager,2113.67,669
100050,56,F,2019-10-25,Luxor,Sales,21939.27,560
100051,35,M,2019-11-07,Tanta,Teacher,19719.18,526
100052,21,M,2019-01-06,Luxor,Unemployed,9627.19,649
100053,42,F,2022-07-03,Aswan,Freelancer,19035.74,662
100054,31,F,2019-01-23,Alexandria,Accountant,27998.05,642
100055,67,F,2024-05-25,Mansoura,Engineer,3564.96,685
100056,26,M,2023-04-08,Aswan,Engineer,16443.57,586
100057,43,F,2020-06-20,Mansoura,Manager,27887.56,656
100058,70,M,2020-07-03,Ismailia,Accountant,17224.24,611
100059,19,M,2021-01-12,Giza,Freelancer,5964.94,629
100060,37,M,2019-12-09,Giza,Accountant,13911.31,671
100061,45,F,2020-12-30,Alexandria,Engineer,22959.07,734
100062,64,M,2019-02-02,Damanhour,Sales,3873.87,673
100063,24,M,2019-02-08,Aswan,Unemployed,11759.23,699
100064,61,F,2020-03-03,Alexandria,Sales,10052.14,650
100065,25,M,2020-07-12,Alexandria,Freelancer,6948.71,689
100066,64,M,2023-03-12,Mansoura,Sales,13932.44,732
100067,52,M,2019-03-19,Damanhour,Accountant,11194.26,800
100068,31,F,2022-04-25,Ismailia,Teacher,17146.8,746
100069,34,M,2019-06-15,Cairo,Teacher,21127.76,645
100070,53,M,2019-12-17,Ismailia,Unemployed,1817.36,741
100071,67,F,2019-09-24,Luxor,Accountant,12540.25,693
100072,57,F,2019-12-24,Luxor,Engineer,11574.99,601
100073,21,M,2019-04-25,Ismailia,Student,13627.32,695
100074,19,F,2020-05-05,Ismailia,Unemployed,11876.23,559
100075,23,F,2022-02-06,Alexandria,Manager,4154.7,695
100076,71,F,2020-02-12,Giza,Student,23638.0,790
100077,59,M,2020-04-17,Aswan,Unemployed,27046.09,715
100078,21,F,2022-08-15,Luxor,Student,16375.12,745
100079,71,F,2021-05-07,Damanhour,Unemployed,16784.81,619
100080,46,M,2020-04-16,Ismailia,Unemployed,13048.39,688
100081,35,M,2019-07-28,Tanta,Teacher,19753.63,705
100082,43,M,2023-02-22,Mansoura,Unemployed,1500.0,625
100083,61,M,2020-08-25,Cairo,Doctor,11969.1,704
100084,51,F,2019-06-24,Suez,Teacher,7418.98,686
100085,27,M,2019-08-08,Damanhour,Sales,13166.54,705
100086,53,M,2022-02-11,Mansoura,Sales,20741.02,567
100087,31,F,2019-02-01,Giza,Manager,12152.27,752
100088,48,M,2028-04-10,Mansoura,Engineer,9116.06,686
100089,65,F,2019-04-08,Tanta,Manager,1500.0,640
100090,32,M,2022-01-17,Giza,Engineer,11125.79,642
100091,25,M,2019-12-18,Aswan,Teacher,17378.22,646
100092,31,M,2020-04-19,Alexandria,Sales,5271.29,583
100093,40,M,2023-01-27,Luxor,Sales,1500.0,745
100094,74,M,2020-01-08,Mansoura,Freelancer,30193.92,727
100095,57,F,2020-06-23,Tanta,Accountant,14681.4,732
100096,38,F,2019-02-05,Alexandria,Doctor,10227.41,771
100097,33,M,2019-01-02,Tanta,Clerk,23127.96,665
100098,62,F,2019-07-16,Suez,Student,13131.83,517
100099,35,F,2021-03-09,Giza,Student,22656.25,700
100100,64,F,2019-04-01,Aswan,Sales,21970.89,697
100101,70,M,2019-03-26,Damanhour,Clerk,1803.83,774
100102,41,M,2020-01-06,Luxor,Manager,15679.96,736
100103,43,M,2020-12-31,Alexandria,Unemployed,25802.29,660
100104,42,F,2021-05-21,Mansoura,Manager,4010.79,638
100105,62,F,2019-05-18,Damanhour,Unemployed,4109.0,730
100106,58,M,2019-02-28,Giza,Manager,5462.39,437
100107,46,M,2024-05-28,Damanhour,Teacher,19123.35,669
100108,32,F,2019-07-31,Suez,Teacher,14275.09,725
100109,62,F,2022-09-05,Alexandria,Doctor,1500.0,640
100110,18,F,2022-10-25,Suez,Clerk,14727.57,619
100111,42,F,2021-11-02,Aswan,Manager,9984.68,673
100112,24,M,2019-05-10,Ismailia,Accountant,11101.79,757
100113,26,F,2022-04-22,Alexandria,Engineer,5303.84,686
100114,41,F,2021-10-23,Aswan,Teacher,14786.07,595
100115,18,M,2020-09-27,Alexandria,Manager,20403.67,747
100116,61,F,2019-10-15,Ismailia,Student,6864.27,762
100117,25,F,2019-08-02,Luxor,Manager,1500.0,585
100118,41,M,2019-04-01,Tanta,Teacher,9575.09,850
100119,28,F,2020-05-13,Alexandria,Accountant,18050.29,649
100120,68,F,2020-09-08,Ismailia,Accountant,8631.76,725
100121,34,F,2019-11-08,Luxor,Manager,1500.0,708
100122,25,M,2020-03-27,Damanhour,Sales,18105.94,594
100123,52,M,2019-11-13,Alexandria,Unemployed,23322.79,613
100124,52,F,2020-12-18,Tanta,Sales,12160.12,655
100125,50,M,2023-06-09,Suez,Freelancer,1500.0,500
100126,22,F,2019-05-06,Damanhour,Sales,9457.36,715
100127,59,F,2019-12-03,Damanhour,Teacher,13212.31,498
100128,56,M,2019-04-17,Alexandria,Unemployed,5522.29,651
100129,58,M,2020-11-17,Giza,Accountant,16666.98,596
100130,45,M,2021-07-02,Luxor,Manager,4740.31,696
100131,24,M,2024-02-24,Aswan,Teacher,12205.02,473
100132,26,F,2019-08-17,Suez,Student,10173.42,517
100133,25,F,2024-09-30,Mansoura,Freelancer,16926.84,602
100134,29,F,2019-02-15,Alexandria,Freelancer,11885.85,691
100135,51,F,2020-10-08,Damanhour,Sales,10428.07,667
100136,50,M,2019-02-11,Tanta,Engineer,5577.08,734
100137,65,F,2023-04-19,Cairo,Student,12278.15,658
100138,72,F,2020-06-12,Tanta,Student,9918.34,648
100139,40,F,2021-02-13,Alexandria,Sales,5035.76,564
100140,41,F,2022-05-31,Cairo,Student,13275.93,632
100141,54,M,2019-04-25,Alexandria,Clerk,14911.77,648
100142,52,F,2019-01-28,Tanta,Engineer,9292.74,485
100143,61,M,2023-01-17,Tanta,Unemployed,19452.55,578
100144,57,M,2019-09-22,Damanhour,Unemployed,14111.79,687
100145,39,M,2019-04-07,Luxor,Unemployed,1729.17,664
100146,44,F,2020-03-18,Cairo,Sales,22699.15,629
100147,52,F,2020-09-30,Aswan,Accountant,18135.9,601
100148,18,F,2019-01-23,Tanta,Manager,20014.65,510
100149,52,F,2019-08-14,Alexandria,Manager,15204.02,475
100150,54,F,2019-01-24,Mansoura,Engineer,1500.0,625
100151,64,F,2020-01-17,Alexandria,Engineer,20740.95,769
100152,31,M,2023-04-28,Luxor,Clerk,12486.3,652
100153,20,M,2026-10-09,Mansoura,Accountant,14825.75,731
100154,18,M,2020-12-10,Alexandria,Freelancer,16323.07,555
100155,22,F,2019-05-04,Giza,Sales,27490.22,672
100156,43,F,2023-07-13,Alexandria,Teacher,7630.21,593
100157,72,M,2020-05-23,Aswan,Sales,7836.78,590
100158,31,M,2019-04-27,Ismailia,Sales,5191.72,709
100159,56,F,2023-11-19,Damanhour,Sales,3440.46,640
100160,44,M,2021-09-18,Tanta,Manager,3587.75,539
100161,26,F,2021-07-09,Luxor,Unemployed,1500.0,657
100162,32,F,2021-05-14,Cairo,Teacher,15413.25,592
100163,32,M,2019-06-06,Alexandria,Manager,27902.45,534
100164,43,M,2019-06-15,Giza,Accountant,28412.59,570
100165,59,F,2021-03-26,Giza,Accountant,5181.06,813
100166,30,F,2019-06-23,Cairo,Unemployed,9822.76,746
100167,68,F,2020-02-09,Tanta,Accountant,21866.74,488
100168,49,F,2021-12-02,Tanta,Sales,15458.78,634
100169,56,M,2021-12-08,Alexandria,Unemployed,13076.13,640
100170,66,M,2020-02-27,Suez,Manager,9946.12,628
100171,69,F,2022-01-04,Ismailia,Teacher,21426.41,596
100172,49,F,2022-06-30,Damanhour,Sales,3415.59,709
100173,21,M,2021-01-14,Ismailia,Sales,15847.0,725
100174,47,F,2019-07-01,Damanhour,Engineer,14759.47,733
100175,54,F,2019-08-13,Ismailia,Clerk,12346.98,676
100176,40,M,2019-09-22,Giza,Doctor,18301.84,698
100177,56,M,2019-03-28,Damanhour,Engineer,12269.9,622
100178,62,F,2019-08-12,Damanhour,Sales,7723.78,523
100179,32,M,2019-06-14,Luxor,Teacher,12740.09,521
100180,60,M,2020-03-01,Ismailia,Manager,1500.0,581
100181,46,M,2023-08-01,Alexandria,Accountant,16901.72,633
100182,53,F,2019-03-19,Damanhour,Student,18945.83,547
100183,30,F,2021-06-10,Suez,Freelancer,6747.08,559
100184,49,F,2021-03-24,Giza,Student,4843.91,619
100185,24,M,2019-03-12,Aswan,Accountant,7041.99,719
100186,68,F,2023-11-26,Alexandria,Manager,11495.82,676
100187,39,F,2020-08-11,Ismailia,Sales,13727.09,580
100188,45,F,2019-11-13,Tanta,Freelancer,24923.94,653
100189,19,F,2021-09-15,Ismailia,Clerk,23912.73,543
100190,59,M,2019-07-28,Luxor,Freelancer,18652.34,580
100191,62,F,2021-04-07,Alexandria,Doctor,12970.09,517
100192,74,M,2019-01-29,Giza,Accountant,4584.61,684
100193,70,F,2022-07-04,Luxor,Clerk,25437.1,627
100194,23,M,2020-02-21,Cairo,Clerk,10018.86,637
100195,45,M,2020-12-09,Giza,Freelancer,14250.99,714
100196,45,M,2019-06-25,Damanhour,Clerk,17018.82,570
100197,61,F,2021-03-02,Cairo,Manager,12492.77,687
100198,61,M,2021-11-01,Tanta,Engineer,21208.78,808
100199,37,F,2020-03-24,Luxor,Student,15643.14,571
100200,47,M,2020-11-04,Giza,Teacher,19909.11,524
100201,28,M,2020-03-02,Mansoura,Teacher,15578.76,549
100202,72,F,2023-04-21,Mansoura,Student,11696.8,681
100203,45,M,2020-04-27,Aswan,Engineer,12593.48,789
100204,42,M,2022-07-14,Cairo,Student,11502.08,786
100205,56,F,2022-02-05,Suez,Freelancer,1725.71,717
100206,50,M,2020-01-05,Alexandria,Student,3993.44,720
100207,18,M,2019-07-03,Ismailia,Teacher,17924.38,687
100208,74,M,2019-12-31,Damanhour,Manager,1925.03,708
100209,44,F,2022-05-09,Tanta,Clerk,8766.21,674
100210,74,F,2019-06-30,Mansoura,Student,3599.17,586
100211,69,F,2020-06-04,Suez,Student,8338.25,787
100212,30,F,2022-02-22,Suez,Student,10757.85,756
100213,58,M,2019-11-02,Cairo,Sales,8750.13,587
100214,20,M,2020-12-20,Aswan,Engineer,1500.0,701
100215,56,F,2019-07-17,Damanhour,Unemployed,10515.76,766
100216,23,M,2019-03-23,Suez,Clerk,4328.83,683
100217,25,M,2022-01-12,Tanta,Unemployed,6907.54,633
100218,44,M,2019-03-14,Cairo,Sales,17924.16,764
100219,26,M,2019-08-10,Luxor,Student,19643.14,670
100220,54,F,2022-09-14,Tanta,Sales,1512.23,599
100221,50,M,2019-10-25,Ismailia,Sales,24549.33,557
100222,68,M,2025-12-04,Aswan,Unemployed,7919.31,415
100223,59,M,2026-06-22,Damanhour,Freelancer,7191.92,807
100224,61,F,2019-08-07,Aswan,Engineer,4866.76,583
100225,41,M,2019-01-30,Aswan,Freelancer,12447.3,727
100226,32,M,2021-05-04,Cairo,Clerk,27852.4,576
100227,71,F,2020-02-24,Aswan,Engineer,1500.0,663
100228,49,F,2019-03-16,Alexandria,Teacher,1500.0,685
100229,49,M,2021-05-10,Tanta,Student,14148.08,550
100230,41,M,2019-01-23,Damanhour,Accountant,16554.71,726
100231,58,M,2022-11-30,Tanta,Teacher,12421.38,634
100232,69,M,2019-04-15,Luxor,Teacher,16766.4,694
100233,66,M,2019-04-06,Aswan,Clerk,2949.91,766
100234,66,M,2019-05-16,Aswan,Engineer,4441.04,709
100235,69,M,2025-03-07,Ismailia,Sales,12991.66,642
100236,29,M,2021-04-07,Aswan,Manager,26064.55,805
100237,56,F,2022-02-05,Aswan,Clerk,16485.45,646
100238,19,F,2019-12-21,Tanta,Doctor,16857.63,657
100239,20,F,2019-10-14,Tanta,Teacher,3410.59,636
100240,66,M,2019-07-07,Mansoura,Manager,15379.24,551
100241,54,M,2020-04-03,Mansoura,Manager,2542.81,543
100242,66,F,2020-07-15,Tanta,Freelancer,26142.06,605
100243,73,M,2020-11-30,Damanhour,Teacher,3904.58,568
100244,34,M,2019-07-28,Suez,Manager,5628.16,627
100245,66,F,2024-09-09,Ismailia,Sales,1500.0,716
100246,19,F,2019-05-11,Luxor,Clerk,12686.53,617
100247,19,F,2025-06-17,Suez,Sales,12350.33,667
100248,45,M,2019-01-11,Mansoura,Sales,24105.93,609
100249,71,M,2020-04-04,Aswan,Teacher,18211.32,850
100250,40,F,2019-10-11,Tanta,Doctor,5673.87,770
100251,54,M,2020-02-22,Mansoura,Sales,18987.16,630
100252,49,F,2020-08-14,Aswan,Engineer,2051.87,671
100253,50,F,2020-02-05,Alexandria,Sales,6253.18,542
100254,18,F,2020-01-11,Cairo,Doctor,12947.68,632
100255,36,M,2021-07-12,Aswan,Manager,2944.91,601
100256,19,M,2021-03-21,Suez,Engineer,20517.27,709
100257,70,F,2022-06-07,Giza,Manager,30234.5,575
100258,61,F,2019-07-21,Aswan,Manager,9643.82,782
100259,43,F,2020-10-20,Damanhour,Student,6786.5,644
100260,49,M,2020-09-07,Giza,Engineer,10963.28,580
100261,23,M,2019-11-20,Alexandria,Clerk,7541.02,652
100262,49,F,2020-04-10,Damanhour,Student,14093.84,708
100263,72,F,2019-09-21,Damanhour,Teacher,1500.0,691
100264,21,F,2019-04-18,Alexandria,Doctor,14548.05,662
100265,72,M,2019-06-18,Mansoura,Sales,27295.39,720
100266,28,F,2019-03-20,Ismailia,Doctor,1500.0,715
100267,73,F,2021-03-15,Alexandria,Freelancer,2650.82,715
100268,34,F,2021-01-26,Suez,Clerk,8439.54,627
100269,55,M,2024-10-06,Giza,Clerk,16335.14,627
100270,41,M,2021-07-04,Aswan,Sales,19123.06,633
100271,22,F,2019-02-07,Ismailia,Freelancer,18479.48,610
100272,69,M,2023-02-18,Giza,Unemployed,1500.0,658
100273,51,M,2022-10-21,Alexandria,Clerk,6605.23,649
100274,23,F,2020-02-15,Ismailia,Sales,4797.46,782
100275,39,M,2020-09-09,Damanhour,Teacher,11478.41,609
100276,28,F,2026-02-26,Mansoura,Clerk,12146.24,571
100277,65,M,2020-06-15,Cairo,Sales,1500.0,701
100278,33,F,2023-07-09,Cairo,Freelancer,8483.57,655
100279,50,F,2019-03-02,Alexandria,Student,16644.15,595
100280,26,M,2019-05-29,Luxor,Freelancer,6973.35,712
100281,23,M,2020-02-11,Mansoura,Teacher,10398.13,627
100282,33,M,2020-09-07,Cairo,Doctor,25575.12,771
100283,46,M,2022-03-31,Luxor,Accountant,27920.24,573
100284,20,F,2027-07-09,Damanhour,Unemployed,1500.0,603
100285,37,F,2019-12-11,Ismailia,Manager,12911.18,660
100286,53,M,2019-02-04,Cairo,Sales,35336.26,758
100287,36,M,2022-02-04,Damanhour,Engineer,15830.77,592
100288,43,M,2020-10-11,Damanhour,Sales,12147.92,680
100289,20,F,2019-06-04,Ismailia,Doctor,22501.51,556
100290,36,M,2020-04-23,Cairo,Unemployed,13744.74,723
100291,37,F,2021-08-07,Damanhour,Teacher,17673.1,597
100292,49,F,2021-10-27,Damanhour,Sales,10317.56,699
100293,24,F,2020-04-29,Alexandria,Freelancer,13628.08,703
100294,69,M,2019-09-12,Giza,Engineer,15413.05,504
100295,58,F,2025-12-22,Mansoura,Accountant,18924.47,666
100296,50,M,2021-02-01,Giza,Engineer,8546.23,609
100297,57,M,2020-01-03,Tanta,Teacher,8328.81,689
100298,56,F,2019-08-19,Mansoura,Accountant,1500.0,580
100299,35,F,2021-07-08,Ismailia,Sales,8902.79,603
100300,57,M,2019-07-14,Aswan,Accountant,19624.28,745
100301,18,M,2019-05-12,Giza,Clerk,15705.8,739
100302,28,M,2020-06-12,Giza,Manager,4025.98,570
100303,45,M,2019-08-28,Luxor,Clerk,1500.0,793
100304,74,M,2020-11-24,Suez,Accountant,10860.63,443
100305,42,M,2019-03-29,Tanta,Sales,19390.22,667
100306,67,M,2021-01-14,Aswan,Sales,8168.81,547
100307,40,F,2019-08-22,Suez,Manager,1500.0,679
100308,48,F,2019-01-01,Cairo,Sales,7283.94,629
100309,47,F,2019-04-06,Luxor,Engineer,14609.27,568
100310,59,M,2024-03-13,Damanhour,Teacher,21939.5,591
100311,52,F,2022-11-15,Damanhour,Doctor,9946.44,587
100312,24,F,2019-07-06,Suez,Engineer,20439.14,656
100313,33,F,2021-11-20,Suez,Teacher,19552.34,727
100314,43,F,2020-10-18,Damanhour,Unemployed,2586.68,806
100315,65,F,2025-10-12,Aswan,Engineer,22005.66,636
100316,74,F,2019-11-24,Damanhour,Accountant,14360.9,673
100317,69,M,2021-03-11,Alexandria,Manager,2346.54,744
100318,66,F,2019-02-15,Tanta,Teacher,26086.65,614
100319,19,F,2019-12-20,Giza,Teacher,10995.4,587
100320,18,F,2025-05-12,Damanhour,Engineer,1500.0,805
100321,65,F,2020-06-26,Alexandria,Sales,6349.87,635
100322,29,M,2019-08-26,Damanhour,Unemployed,4380.37,667
100323,22,M,2019-03-31,Aswan,Sales,6546.08,521
100324,54,F,2021-05-01,Cairo,Sales,8438.52,608
100325,49,F,2020-12-25,Alexandria,Sales,9940.89,800
100326,72,F,2019-11-24,Tanta,Manager,9639.98,687
100327,26,M,2024-10-11,Mansoura,Engineer,11220.12,647
100328,58,M,2019-01-16,Alexandria,Manager,16699.15,761
100329,52,F,2019-09-11,Ismailia,Unemployed,6028.51,518
100330,36,F,2023-11-13,Ismailia,Student,21448.0,616
100331,65,F,2019-09-28,Mansoura,Sales,2198.53,831
100332,33,M,2019-07-23,Suez,Engineer,16920.95,646
100333,20,F,2020-06-18,Ismailia,Doctor,25146.17,645
100334,37,M,2022-04-30,Suez,Teacher,10581.15,744
100335,41,F,2019-03-18,Damanhour,Engineer,13547.72,749
100336,71,M,2024-06-28,Damanhour,Doctor,4256.22,545
100337,73,M,2022-01-14,Giza,Manager,7905.75,684
100338,50,F,2019-05-20,Ismailia,Freelancer,24541.43,790
100339,41,F,2021-05-21,Mansoura,Unemployed,17987.86,598
100340,69,M,2019-12-07,Giza,Sales,15348.35,620
100341,28,F,2019-12-27,Tanta,Freelancer,1500.0,652
100342,66,M,2021-12-06,Alexandria,Student,6268.22,705
100343,25,M,2025-04-22,Ismailia,Teacher,25911.93,535
100344,53,M,2019-04-05,Luxor,Sales,15286.66,400
100345,55,M,2020-01-18,Mansoura,Sales,16284.76,667
100346,57,M,2020-04-04,Mansoura,Doctor,13364.44,743
100347,37,M,2019-11-27,Tanta,Unemployed,7096.08,625
100348,52,M,2019-11-12,Ismailia,Teacher,14660.33,601
100349,65,F,2019-02-07,Aswan,Sales,1500.0,636
100350,42,M,2021-03-20,Ismailia,Sales,1500.0,777
100351,52,F,2020-02-06,Aswan,Clerk,6117.8,596
100352,42,M,2019-06-01,Suez,Freelancer,13537.31,695
100353,46,F,2022-03-31,Mansoura,Unemployed,1500.0,557
100354,35,M,2022-02-09,Damanhour,Student,13016.34,561
100355,63,M,2020-04-11,Cairo,Unemployed,4043.53,717
100356,35,M,2019-09-06,Suez,Student,5121.4,780
100357,19,M,2020-12-12,Aswan,Freelancer,22396.71,721
100358,71,M,2019-08-26,Mansoura,Clerk,12298.35,485
100359,52,F,2019-07-08,Damanhour,Sales,4769.56,616
100360,33,F,2021-07-06,Luxor,Manager,13494.67,669
100361,58,F,2019-01-29,Aswan,Sales,1500.0,654
100362,53,F,2019-03-11,Giza,Engineer,15058.64,496
100363,50,M,2019-01-05,Cairo,Manager,20858.55,546
100364,21,M,2019-04-27,Suez,Sales,17293.83,585
100365,50,M,2019-02-20,Aswan,Freelancer,29261.71,644
100366,31,M,2029-06-28,Damanhour,Student,1500.0,495
100367,38,M,2019-08-27,Cairo,Clerk,13015.75,698
100368,65,F,2019-04-24,Mansoura,Unemployed,1500.0,642
100369,37,M,2019-07-13,Tanta,Clerk,10614.23,566
100370,73,M,2024-04-09,Tanta,Student,12012.35,665
100371,25,F,2020-05-29,Tanta,Sales,30238.76,534
100372,24,F,2019-11-14,Alexandria,Clerk,11521.78,645
100373,20,M,2022-12-17,Tanta,Unemployed,11372.56,505
100374,34,F,2019-12-18,Mansoura,Doctor,20041.27,517
100375,50,F,2019-10-13,Tanta,Sales,11577.43,613
100376,65,M,2019-06-12,Aswan,Freelancer,26649.18,592
100377,29,M,2019-11-29,Tanta,Manager,17357.48,680
100378,68,M,2019-09-24,Luxor,Accountant,18628.02,648
100379,39,F,2021-03-02,Luxor,Clerk,1500.0,818
100380,72,F,2019-08-28,Alexandria,Sales,27881.7,628
100381,39,M,2020-08-25,Tanta,Freelancer,6748.33,386
100382,63,M,2019-02-17,Mansoura,Accountant,11922.16,487
100383,47,F,2019-05-29,Tanta,Doctor,6778.37,554
100384,55,M,2020-01-02,Luxor,Engineer,3805.99,850
100385,55,M,2024-04-18,Mansoura,Doctor,2382.65,647
100386,62,F,2019-11-28,Tanta,Accountant,12825.93,738
100387,68,F,2021-02-02,Aswan,Manager,1500.0,730
100388,71,F,2019-07-26,Alexandria,Clerk,10057.58,548
100389,25,F,2019-04-06,Ismailia,Freelancer,20462.15,506
100390,44,F,2019-02-12,Suez,Engineer,17055.54,701
100391,44,M,2019-09-13,Mansoura,Accountant,15459.48,472
100392,51,F,2019-05-01,Mansoura,Unemployed,4836.92,728
100393,38,M,2019-05-14,Ismailia,Teacher,1500.0,640
100394,47,F,2021-09-28,Ismailia,Accountant,20334.35,699
100395,50,M,2019-01-12,Alexandria,Doctor,8408.32,674
100396,45,F,2020-07-25,Cairo,Engineer,11335.37,678
100397,64,M,2019-12-01,Alexandria,Engineer,10419.24,658
100398,50,M,2020-05-09,Luxor,Manager,17379.14,672
100399,22,M,2020-08-02,Luxor,Accountant,26746.53,653
100400,65,M,2019-09-21,Ismailia,Manager,23698.99,539
100401,36,F,2019-09-02,Aswan,Unemployed,1500.0,618
100402,21,F,2021-07-14,Giza,Teacher,9531.69,823
100403,52,M,2022-12-06,Suez,Teacher,1500.0,675
100404,66,M,2019-05-30,Alexandria,Student,19507.43,741
100405,34,M,2019-03-13,Giza,Sales,12031.87,571
100406,61,M,2023-05-16,Tanta,Freelancer,16849.21,569
100407,45,M,2019-10-29,Cairo,Unemployed,8847.0,553
100408,47,F,2020-07-15,Tanta,Student,3685.03,543
100409,46,M,2019-11-08,Damanhour,Engineer,5053.75,520
100410,63,M,2019-04-05,Mansoura,Unemployed,1500.0,668
100411,70,M,2020-09-14,Ismailia,Accountant,1890.93,621
100412,23,M,2020-06-05,Tanta,Unemployed,1500.0,720
100413,52,M,2019-06-08,Suez,Student,3714.38,625
100414,58,F,2020-02-25,Tanta,Sales,3261.77,457
100415,54,M,2022-01-21,Luxor,Doctor,15152.74,685
100416,41,M,2020-09-16,Giza,Manager,14838.89,487
100417,46,M,2019-03-13,Alexandria,Engineer,15144.03,667
100418,66,M,2020-07-09,Alexandria,Student,21399.96,588
100419,63,M,2021-04-29,Alexandria,Accountant,11373.3,668
100420,70,F,2022-01-06,Ismailia,Teacher,5753.48,534
100421,48,F,2020-11-25,Aswan,Unemployed,29691.23,712
100422,52,F,2019-04-26,Aswan,Teacher,19245.17,653
100423,50,M,2021-05-16,Aswan,Engineer,13218.56,622
100424,69,M,2021-03-02,Alexandria,Clerk,12663.0,514
100425,38,F,2019-01-18,Cairo,Doctor,14317.23,794
100426,49,F,2020-01-07,Ismailia,Teacher,10383.19,577
100427,40,F,2019-10-11,Alexandria,Teacher,13025.8,671
100428,50,M,2021-02-13,Alexandria,Clerk,15995.04,574
100429,20,M,2019-06-20,Alexandria,Unemployed,6187.71,850
100430,35,M,2020-09-17,Suez,Freelancer,1500.0,661
100431,42,F,2023-09-07,Mansoura,Manager,1500.0,600
100432,59,F,2022-01-23,Tanta,Manager,19103.19,698
100433,48,F,2023-11-16,Alexandria,Sales,1500.0,710
100434,71,M,2026-05-11,Damanhour,Clerk,15722.75,681
100435,20,F,2019-01-08,Cairo,Sales,2765.15,624
100436,57,M,2020-11-13,Mansoura,Clerk,2894.03,685
100437,63,M,2020-01-08,Cairo,Manager,6254.41,637
100438,41,M,2022-10-07,Aswan,Unemployed,13553.06,647
100439,67,F,2019-07-23,Aswan,Doctor,1691.27,587
100440,49,M,2026-08-07,Mansoura,Unemployed,7064.54,532
100441,64,M,2020-10-27,Tanta,Sales,11794.25,695
100442,39,F,2022-01-09,Damanhour,Sales,2317.91,698
100443,40,M,2019-03-04,Aswan,Freelancer,23425.87,753
100444,19,M,2019-05-22,Ismailia,Sales,1500.0,653
100445,44,M,2021-09-21,Mansoura,Engineer,10254.65,632
100446,59,M,2019-01-16,Mansoura,Accountant,22180.33,537
100447,19,F,2022-04-03,Giza,Manager,1500.0,646
